row,chars,conf
5658,"Agent Carter, Howard Stark, Woodrow McCord",🟢
5659,"Red Skull, Doctor Doom",🟢
5660,"Daredevil, Black Widow, Scarlet Witch, Doctor Strange, Hulk, Iron Fist, Luke Cage",🟢
5661,"Storm, Black Widow, Daredevil, Scarlet Witch",🟢
5662,"Daredevil, Misty Knight, Colleen Wing, Ava Ayala",🟢
5663,"Dani Moonstar, Ava Ayala, Namor, Doctor Strange",🟢
5664,"Daredevil, She-Hulk, Black Widow, Colleen Wing, Iron Fist, Misty Knight",🟢
5665,"Elsa Bloodstone, Misty Knight, Dani Moonstar",🟢
5666,"Misty Knight, Colleen Wing, Luke Cage",🟢
5667,"Black Widow, Daredevil, Doctor Strange, Hulk, Iron Fist, Power Man, Scarlet Witch, Vision",🟢
5668,"Misty Knight, Colleen Wing, Ava Ayala, Tarantula, Jessica Jones",🟢
5669,"Daredevil, Elektra, Black Widow, Colleen Wing, Misty Knight",🟢
5670,"Black Widow, Hawkeye",🟢
5671,"The Defender, Tarantula, Doctor Strange, The Hulk",🟢
5672,"Ant-Man, Wasp, Yellowjacket, Black Widow, Hawkeye",🟢
5673,"Ant-Man, Wasp",🟢
5674,"Ant-Man, Captain America",🟢
5675,"Ant-Man, Hench",🟢
5676,"Ant-Man, Giant-Man",🟢
5677,"Ms. Marvel, Kamala Khan",🟢
5678,"Ant-Man, Wasp",🟢
5679,"Ant-Man, Wasp, Ghost",🟢
5680,"Scott Lang, Hank Pym, Janet van Dyne, Hope van Dyne, Sam Wilson",🟢
5681,"Ant-Man, Vision",🟢
5682,Ant-Man,🟢
5683,Ant-Man,🟢
5684,"Ant-Man, Wasp",🟢
5685,"Ant-Man, Giant-Man",🟢
5686,Ant-Man,🟢
5687,Black Knight,🟢
5688,"Black Knight, Iron Man, Captain America, Thor, Hawkeye",🟢
5689,"Black Knight, Doctor Doom",🟢
5690,Black Panther,🟢
5691,"Black Knight, Dane Whitman",🟢
5692,"Thanos, The Flash, Hawkeye, Captain America, She-Hulk, Gamora",🟢
5693,"Rocket Raccoon, War Machine",🟢
5694,"Green Lantern, Beast, Iron Fist, Medina, Masacote, Gueriel",🟢
5695,"Psylocke, Wolverine",🟢
5696,"Thanos, Hulk, Black Widow, Daredevil, Luke Cage, Iron Fist",🟢
5697,"Maestro, The Hulk, Spider-Man, Iron Fist, Black Panther, Doctor Strange, Captain America",🟢
5698,"Invisible Woman, Mr. Fantastic, Human Torch, Thing, Ultron",🟢
5699,"Captain Marvel, Ultron, Killmonger, Thanos",🟢
5700,"Iron Man, Thor, Captain America, Black Widow, Hawkeye",🟢
5701,"Iron Man, Captain America, Loki, Gamora, Drax",🟢
5702,Deathlok,🟢
5703,"Deathlock, Nick Fury",🟢
5704,"Taskmaster, Black Widow",🟢
5705,Deathlock,🟢
5706,Deadlock,🟢
5707,Deathlock,🟢
5708,"Black Widow, Daredevil",🟢
5709,"Deathlock, Taskmaster",🟢
5710,"Deathlock, Deadpool",🟢
5711,"Deathlock, Ant-Man",🟢
5712,"Phil Coulson, Melinda May, Daisy Johnson, Grant Ward, Jemma Simmons, Leopold Fitz",🟢
5713,Phil Coulson,🟢
5714,"Daisy Johnson, Melinda May",🟢
5715,"Mockingbird, Black Widow",🟢
5716,"Spider-Man, Agents of S.H.I.E.L.D",🟢
5717,"Iron Man, Captain America, Thor, Black Widow, Hulk, Hawkeye",🟢
5718,"Phil Coulson, Melinda May, Daisy Johnson, Grant Ward, Bobbi Morse, Lance Hunter, Iron Man",🟢
5719,Elektra,🟢
5720,"Daisy Johnson, Mockingbird, Phil Coulson, Lance Hunter",🟢
5721,"Phil Coulson, Daisy Johnson, Melinda May, Grant Ward",🟢
5722,"Phil Coulson, Daisy Johnson, Melinda May, Grant Ward",🟢
5723,"Daisy Johnson, Phil Coulson, Melinda May, Leo Fitz, Jemma Simmons",🟢
5724,"Spider-Man, Agent Coulson, Melinda May",🟢
5725,Daisy Johnson,🟢
5726,"Melinda May, Daisy Johnson, Phil Coulson, Grant Ward, Jemma Simmons, Leo Fitz",🟢
5727,"Phil Coulson, Melinda May, Daisy Johnson, Leo Fitz, Jemma Simmons",🟢
5728,"Maria Rambeau, Melinda May",🟢
5729,"Phil Coulson, Nick Fury, Melinda May, Daisy Johnson, Grant Ward, Leo Fitz, Jemma Simmons",🟢
5730,"Phil Coulson, Melinda May, Howard the Duck",🟢
5731,"Phil Coulson, Melinda May, Daisy Johnson",🟢
5732,"Maria Rambeau, Melinda May",🟢
5733,"Phil Coulson, Melinda May, Daisy Johnson, Leo Fitz, Jemma Simmons",🟢
5734,"Phil Coulson, Melinda May, Daisy Johnson, Leo Fitz, Jemma Simmons",🟢
5735,Daisy Johnson,🟢
5736,"Daisy Johnson, Phil Coulson, Melinda May, Leo Fitz, Jemma Simmons",🟢
5737,"Phil Coulson, Melinda May, Skye, Leo Fitz, Jemma Simmons",🟢
5738,"Skye, Quake",🟢
5739,"Phil Coulson, Melinda May, Daisy Johnson, Grant Ward",🟢
5740,Nick Fury,🟢
5741,Scarlet Witch,🟢
5742,Scarlet Witch,🟢
5743,Thanos,🟢
5744,"Loki, Ms. Marvel, Storm, Emma Frost",🟢
5745,"Annihilus, Drax the Destroyer, Nova, Silver Surfer, Ronan the Accuser",🟢
5746,"Nova, Annihilus, Drax, Gamora, Star-Lord, Rocket Raccoon, Groot",🟢
5747,Ant-Man,🟢
5748,Iron Man,🟢
5749,"Captain Marvel, Invisible Woman, Storm, Jessica Jones",🟢
5750,"Captain Marvel, Invisible Woman, Iron Nurse, X-23",🟢
5751,"Scarlett, Cobra Commander, Duke, Snake Eyes, Destro",🟢
5752,"Psylocke, Wolverine, Gambit, Storm, Professor X, Magneto",🟢
5753,"Black Bolt, Medusa, Crystal, Gorgon",🟢
5754,"Wolverine, Sasquatch, Puck, Northstar, Aurora, Shaman, Box, Vindicator",🟢
5755,"Black Canary, Huntress, Oracle",🟢
5756,"Black Canary, Starfire, Nightwing, Cyborg, Raven",🟢
5757,Huntress,🟢
5758,"Harley Quinn, Poison Ivy, Black Canary",🟢
5759,"Huntress, Black Canary, Spoiler, Renee Montoya, Harley Quinn",🟢
5760,"Black Canary, Huntress",🟢
5761,"Black Canary, Huntress, Lashina",🟢
5762,"Barbara Gordon, Dinah Lance, Huntress",🟢
5763,"Batgirl, Harley Quinn",🟢
5764,"Harley Quinn, Huntress, Black Canary, Renee Montoya",🟢
5765,"Huntress, Black Canary, Oracle, Batgirl",🟢
5766,"Huntress, Black Mask, Harley Quinn, Renee Montoya",🟢
5767,"Huntress, Black Canary, Renee Montoya",🟢
5768,"Batgirl, Huntress",🟢
5769,"Oracle, Huntress, Black Canary",🟢
5770,"Huntress, Black Canary",🟢
5771,"Black Canary, Oracle, Huntress",🟢
5772,"Huntress, Black Canary, Batgirl, Poison Ivy",🟢
5773,"Huntress, Black Canary, Renee Montoya, Cassandra Cain",🟢
5774,"Oracle, Huntress, Question",🟢
5775,"Huntress, Black Canary, Oracle",🟢
5776,"Black Canary, Huntress",🟢
5777,"Black Canary, Green Arrow",🟢
5778,"Black Canary, Oracle, Harley Quinn",🟢
5779,"Black Canary, Huntress, Oracle",🟢
5780,"Black Mask, Huntress",🟢
5781,Oracle,🟢
5782,"Harley Quinn, Joker, Birds of Prey",🟢
5783,"Robin, Black Canary, Huntress",🟢
5784,"Batgirl, Black Canary, Huntress, Oracle",🟢
5785,"Barbara Gordon, Bruce Wayne",🟢
5786,Oracle,🟢
5787,"Barbara Gordon, Batgirl, Bruce Wayne, Batman",🟢
5788,"Huntress, Black Canary",🟢
5789,"Deathstroke, Deadshot",🟢
5790,"Black Canary, Huntress, Oracle",🟢
5791,"Harley Quinn, Black Canary, Huntress, Oracle",🟢
5792,"Starfire, Huntress",🟢
5793,"Black Canary, Huntress, Oracle",🟢
5794,"Huntress, Harley Quinn",🟢
5795,"Huntress, Question",🟢
5796,"Oracle, Black Canary",🟢
5797,"Harley Quinn, Deadshot, Captain Boomerang",🟢
5798,"Oracle, Black Canary, Huntress",🟢
5799,"Harley Quinn, Huntress, Black Canary, Renee Montoya",🟢
5800,"Black Canary, Oracle",🟢
5801,"Huntress, Oracle",🟢
5802,"Barbara Gordon, Oracle",🟢
5803,"Huntress, Black Canary, Oracle",🟢
5804,"Huntress, Black Canary",🟢
5805,"Huntress, Black Canary, Oracle",🟢
5806,"Huntress, Black Canary, Lady Shiva",🟢
5807,"Black Canary, Lady Shiva",🟢
5808,"Huntress, Oracle",🟢
5809,"Huntress, Black Canary, Oracle",🟢
5810,"Harley Quinn, Black Canary, Huntress, Oracle",🟢
5811,"Huntress, Black Canary, Poison Ivy, Catwoman",🟢
5812,"Huntress, Harley Quinn, Black Mask, Renee Montoya",🟢
5813,Huntress,🟢
5814,"Birds of Prey, Black Canary",🟢
5815,"Superman, Supergirl, Wonder Woman",🟢
5816,"Oracle, Huntress",🟢
5817,"Huntress, Catwoman",🟢
5818,Black Canary,🟢
5819,"Oracle, Huntress, Black Canary, Catwoman",🟢
5820,"Huntress, Black Canary, Renee Montoya, Cassandra Cain",🟢
5821,"Huntress, Black Canary, Oracle",🟢
5822,"Huntress, Scandal Savage",🟢
5823,"Black Canary, Huntress, Thorn",🟢
5824,"Huntress, Black Canary",🟢
5825,"Huntress, Black Canary",🟢
5826,"Black Canary, Huntress, Poison Ivy",🟢
5827,"Barbara Gordon, Oracle",🟢
5828,"Huntress, Black Canary, Oracle",🟢
5829,"Black Canary, Huntress, Superman",🟢
5830,"Huntress, Black Canary, Oracle, Renee Montoya, Catwoman",🟢
5831,"Harley Quinn, Huntress, Black Canary, Renee Montoya",🟢
5832,"Huntress, Black Canary",🟢
5833,"Black Canary, Oracle, Huntress",🟢
5834,"Robin, Harley Quinn, Poison Ivy, Catwoman",🟢
5835,"Robin, Spoiler",🟢
5836,"Robin, Killer Croc",🟢
5837,"Robin, Sludge",🟢
5838,"Robin, Tim Drake",🟢
5839,Robin,🟢
5840,"Robin, Batman",🟢
5841,"Robin, Man-Bat",🟢
5842,"Robin, Killer Croc",🟢
5843,Robin,🟢
5844,"Robin, Green Arrow, Black Canary",🟢
5845,"Robin, Batgirl",🟢
5846,"Robin, Raven",🟢
5847,"Robin, Deathstroke",🟢
5848,"Robin, Deathstroke",🟢
5849,"Robin, Killer Croc",🟢
5850,"Robin, The Joker",🟢
5851,"Robin, Killer Croc",🟢
5852,"Batman, Robin",🟢
5853,"Robin, Batman",🟢
5854,"Robin, Killer Croc",🟢
5855,"Robin, Bugs Bunny",🟢
5856,"Robin, Kobra, King Snake, Lady Eve",🟢
5857,"Robin, Batman",🟢
5858,"Robin, Buzz",🟢
5859,"Robin, Starfire, Raven, Cyborg, Beast Boy",🟢
5860,"Robin, Joker, Crocodile Man",🟢
5861,"Batman, Robin",🟢
5862,"Robin, Starfire",🟢
5863,"Robin, Wonder Woman",🟢
5864,"Robin, Catwoman",🟢
5865,"Robin, Batgirl, Spoiler",🟢
5866,"Robin, Scarecrow",🟢
5867,"Robin, Batman",🟢
5868,"Robin, Bane",🟢
5869,"Robin, Shack Timber",🟢
5870,"Robin, Amore, Spoiler, Batgirl",🟢
5871,"Robin, Batman",🟢
5872,Robin,🟢
5873,"Robin, Ghost, Guns, Amulet",🟢
5874,"Robin, Poison Ivy",🟢
5875,Robin,🟢
5876,Robin,🟢
5877,Robin,🟢
5878,"Robin, Batman",🟢
5879,"Robin, Nightwing",🟢
5880,"Robin, Batman",🟢
5881,"Robin, Scarface",🟢
5882,"Batman, Catwoman",🟢
5883,"Robin, Stephanie Brown",🟢
5884,"Robin, Batman",🟢
5885,Robin,🟢
5886,"Batman, Robin",🟢
5887,"Robin, Girl Wonder",🟢
5888,"Robin, Batman, Wonder Girl",🟢
5889,"Robin, Batman",🟢
5890,"Robin, Two-Face, Joker",🟢
5891,"Robin, Red X",🟢
5892,"Robin, Batman",🟢
5893,"Robin, Catwoman",🟢
5894,"Robin, Spoiler",🟢
5895,Robin,🟢
5896,"Robin, Bird",🟢
5897,Batgirl,🟢
5898,Batgirl,🟢
5899,Batgirl,🟢
5900,Batgirl,🟢
5901,Batgirl,🟢
5902,"Batgirl, Batman",🟢
5903,"Batgirl, Shiva",🟢
5904,Batgirl,🟢
5905,"Batgirl, Tiger",🟢
5906,"Batman, Batgirl, Catwoman",🟢
5907,Batgirl,🟢
5908,"Batgirl, Katana, Poison Ivy",🟢
5909,"Batgirl, Batman",🟢
5910,"Batgirl, Penguin",🟢
5911,"Batgirl, Batman",🟢
5912,"Batgirl, The Flash, Two-Face",🟢
5913,Batgirl,🟢
5914,"Batgirl, Oracle",🟢
5915,"Batgirl, Joker",🟢
5916,"Batgirl, Poison Ivy, Harley Quinn",🟢
5917,Batgirl,🟢
5918,"Batgirl, Batman",🟢
5919,"Batgirl, Joker",🟢
5920,"Batgirl, Bruce Wayne",🟢
5921,Batgirl,🟢
5922,"Batgirl, Batman, Catwoman",🟢
5923,"Batgirl, Green Arrow, Connor Hawke, Legion of Doom",🟢
5924,"Batgirl, Spoiler, Catwoman",🟢
5925,"Batgirl, Oracle",🟢
5926,"Batgirl, Oracle, Spoiler",🟢
5927,"Batgirl, Batman",🟢
5928,"Batgirl, Oracle",🟢
5929,Batgirl,🟢
5930,"Batgirl, Riot Grrls",🟢
5931,"Batgirl, Batman",🟢
5932,"Batgirl, Poison Ivy",🟢
5933,"Batgirl, Superman",🟢
5934,"Batgirl, Killer Croc",🟢
5935,Batgirl,🟢
5936,"Batgirl, Poison Ivy",🟢
5937,Batgirl,🟢
5938,"Batgirl, Batman",🟢
5939,Batgirl,🟢
5940,"Batgirl, Batman",🟢
5941,Batgirl,🟢
5942,"Batgirl, Batman",🟢
5943,Batgirl,🟢
5944,"Batgirl, Poison Ivy",🟢
5945,"Batgirl, Robin",🟢
5946,"Batgirl, Oracle",🟢
5947,"Batgirl, Batman",🟢
5948,"Batgirl, Catwoman",🟢
5949,Batgirl,🟢
5950,Batgirl,🟢
5951,"Batgirl, Catwoman",🟢
5952,"Batgirl, Penguin",🟢
5953,"Batgirl, Oracle",🟢
5954,Batgirl,🟢
5955,Batgirl,🟢
5956,"Batgirl, Ravager, Deathstroke",🟢
5957,"Batgirl, Batman",🟢
5958,"Batgirl, Orca",🟢
5959,"Batgirl, Black Canary, Huntress",🟢
5960,"Batgirl, Batman, League of Assassins",🟢
5961,Batgirl,🟢
5962,"Batgirl, Mr. Freeze",🟢
5963,"Batman, Robin",🟢
5964,"Justice League of America, Libra, Wonder Woman, Batman, Superman, Flash, Green Lantern, Hawkgirl",🟢
5965,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Green Arrow",🟢
5966,The Flash,🟢
5967,"Green Arrow, Black Canary, Captain America",🟢
5968,"Superman, Wonder Woman, Solomon Grundy",🟢
5969,Lex Luthor,🟢
5970,Wonder Woman,🟢
5971,"Batman, Superman, Wonder Woman",🟢
5972,"Hawkman, Hawkgirl, Green Arrow",🟢
5973,"Power Girl, Black Canary, Starfire",🟢
5974,"Wonder Woman, Batman",🟢
5975,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Green Arrow",🟢
5976,"Poison Ivy, Green Lantern, Hawkgirl, Black Canary, Lex Luthor",🟢
5977,Unknown,🔴
5978,Unknown,🔴
5979,"Stargirl, Green Lantern, Flash, Hawkgirl",🟢
5980,"Superman, Wonder Woman, Batman, The Flash",🟢
5981,"Superman, Wonder Woman, Suicide Squad",🟢
5982,"Superman, Wonder Woman, Green Lantern, Hawkgirl, Black Canary, Martian Manhunter, The Flash",🟢
5983,"The Flash, Black Canary, Wonder Woman",🟢
5984,"The Flash, Deathstroke, Justice League of America",🟢
5985,"Red Tornado, Superman, Wonder Woman, Green Arrow, Batman",🟢
5986,"Wonder Woman, Superman, Batman, Green Lantern, The Flash, Hawkgirl, Martian Manhunter",🟢
5987,"Firestorm, Amazo",🟢
5988,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Black Canary",🟢
5989,"Wonder Woman, Black Manta, Starfire, Red Arrow, Aquaman, Hawkgirl",🟢
5990,"Superman, Batman, Wonder Woman, Green Lantern, The Flash",🟢
5991,Unknown,🔴
5992,Starbreaker,🟢
5993,"Superman, The Flash, Green Lantern, Hawkgirl, Green Arrow, Martian Manhunter",🟢
5994,"Batman, Superman, Wonder Woman",🟢
5995,"Wonder Woman, Dr. Light",🟢
5996,"Starbreaker, Dharma",🟢
5997,"Starbreaker, Green Lantern, The Flash, Hawkgirl",🟢
5998,Unknown,🔴
5999,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Green Arrow",🟢
6000,"Green Lantern, The Flash",🟢
6001,The Flash,🟢
6002,Supergirl,🟢
6003,Darkseid,🟢
6004,Wonder Woman,🟢
6005,Batman,🟢
6006,Superman,🟢
6007,"Poison Ivy, Deadshot, Bronze Tiger, Cheetah, Grodd",🟢
6008,"Lex Luthor, Poison Ivy, Cheetah, Joker, Catwoman, Grundy",🟢
6009,"Lex Luthor, Poison Ivy, Cheetah, Grundy, Sinestro, Black Manta",🟢
6010,"Harley Quinn, Deadshot",🟢
6011,Unknown,🔴
6012,"Harley Quinn, Batman, Deadshot",🟢
6013,"Catwoman, Batman",🟢
6014,"Deadshot, Harley Quinn, El Diablo, Killer Frost, Bronze Tiger",🟢
6015,Deadshot,🟢
6016,Secret Six,🟢
6017,"Catwoman, The Flash",🟢
6018,Secret Six,🟢
6019,"Batman, Secret Six",🟢
6020,"Bane, Black Adam, Catwoman",🟢
6021,Artemis,🟢
6022,Deadshot,🟢
6023,"Impulse, Booster Gold, Blue Beetle",🟢
6024,"Green Lantern, The Flash, Aquaman, Wonder Woman, Batman, Superman",🟢
6025,"Impulse, Green Lantern",🟢
6026,"Impulse, Booster Gold, Blue Beetle, Captain Boomerang, Plastique",🟢
6027,"Impulse, Booster Gold",🟢
6028,"Impulse, Robin, Justice League",🟢
6029,"Plastic Man, Waxworks, Impulse",🟢
6030,"Impulse, Max Mercury",🟢
6031,"Impulse, Arrowette",🟢
6032,Impulse,🟢
6033,"Impulse, Starman",🟢
6034,"Impulse, Mercury, Max",🟢
6035,"Impulse, Mercury",🟢
6036,"Impulse, Mercury, Green Lantern",🟢
6037,"The Flash, Booster Gold",🟢
6038,Jade,🟢
6039,"Judo Winick, Ciroq Anode, John Walsh",🟢
6040,"Batman, Starfire, Raven, Cyborg, Robin, Beast Boy, Bumblebee",🟢
6041,"Batman, Outsiders, Kobra",🟢
6042,"Nightwing, Starfire, Raven, Beast Boy",🟢
6043,"Batman, Two-Face",🟢
6044,"Batman, Deathstroke",🟢
6045,"Batman, Nightwing, Oracle, Black Canary, Green Arrow, Huntress, Question, Creote",🟢
6046,"Indigo, Brainiac 8.0",🟢
6047,"Booster Gold, Blue Beetle, Fire, Ice, Maxwell Lord",🟢
6048,"Batman, Firefly, Poison Ivy, Red Robin, Black Lightning",🟢
6049,"Booster Gold, Blue Beetle, Fire, Ice, Captain Atom, Mister Miracle, Big Barda",🟢
6050,"Deadshot, Poison Ivy, Harley Quinn, Black Manta, Cheshire",🟢
6051,"Firestorm, Black Manta, Lex Luthor, The Flash, Wonder Woman, Green Lantern",🟢
6052,"Firestorm, Eclipso, Breach",🟢
6053,Suicide Squad,🟢
6054,Oracle,🟢
6055,"Black Canary, Gorilla Grodd",🟢
6056,"Nightwing, Bumblebee, Speedy, Beast Boy",🟢
6057,"Suicide Squad, Deadshot, Harley Quinn",🟢
6058,"Nightwing, Red Hood",🟢
6059,"Deathstroke, Grant Wilson",🟢
6060,"Outsiders, Black Lightning, Katana",🟢
6061,"Checkmate, Black King, White Queen, Black Bishop",🟢
6062,"Batman, Wonder Woman, The Flash",🟢
6063,"Batman, Joker, Harley Quinn, Catwoman, Poison Ivy",🟢
6064,"Batman, Robin",🟢
6065,"Batman, Robin, Batgirl",🟢
6066,"Batman, Robin, Wonder Woman",🟢
6067,"Batman, Robin, Joker",🟢
6068,"Batman, Robin",🟢
6069,"Batman, Robin",🟢
6070,"Harley Quinn, Poison Ivy, Black Canary, Huntress, Catwoman, Renee Montoya",🟢
6071,"Oracle, Calculator",🟢
6072,"Oracle, Calculator",🟢
6073,Shazam,🟢
6074,"Shazam, Black Adam",🟢
6075,"Shazam, Council of Merlin",🟢
6076,"Shazam, Isis",🟢
6077,"Shazam, Desaad",🟢
6078,"Shazam, Hercules",🟢
6079,"Shazam, Black Adam",🟢
6080,"Shazam, Black Adam",🟢
6081,"Batman, Joker, Harley Quinn, Robin, Batman Beyond",🟢
6082,"Batman, Two-Face, Poison Ivy",🟢
6083,"Aquaman, Mera, Aqualad, King Nereus",🟢
6084,Superman,🟢
6085,"Superman, Doomsday",🟢
6086,"Superman, Demon",🟢
6087,Superman,🟢
6088,"Batman, Clayface",🟢
6089,Doctor Strange,🟢
6090,Adam Strange,🟢
6091,"Adam Strange, Alanna",🟢
6092,"Adam Strange, The Omega Men",🟢
6093,Adam Strange,🟢
6094,Adam Strange,🟢
6095,"Adam Strange, Hawkman, Green Lantern",🟢
6096,Black Lightning,🟢
6097,"Black Lightning, Jefferson Pierce",🟢
6098,"Black Lightning, Superman, Wonder Woman",🟢
6099,"Black Lightning, Jennifer Pierce",🟢
6100,"Black Lightning, Anissa Pierce",🟢
6101,Black Lightning,🟢
6102,"Buffy Summers, Willow Rosenberg, Giles",🟢
6103,"Buffy Summers, Willow Rosenberg, Xander Harris, Giles",🟢
6104,"Buffy Summers, Angel",🟢
6105,"Buffy Summers, Drusilla",🟢
6106,"Buffy Summers, Willow Rosenberg, Giles",🟢
6107,"Buffy Summers, Willow Rosenberg, Giles, Xander Harris",🟢
6108,"Buffy Summers, Willow Rosenberg, Xander Harris, Giles, Spike",🟢
6109,"Buffy Summers, Willow Rosenberg, Spike",🟢
6110,"Buffy Summers, Willow Rosenberg, Giles, Xander Harris",🟢
6111,"Buffy Summers, Willow Rosenberg, Giles, demon",🟢
6112,"Buffy Summers, Willow Rosenberg",🟢
6113,"Buffy Summers, Drusilla",🟢
6114,"Buffy Summers, Willow Rosenberg",🟢
6115,"Buffy Summers, Willow Rosenberg, Giles, Xander Harris, Cordelia Chase",🟢
6116,"Buffy Summers, Vampires",🟢
6117,"Buffy Summers, Willow Rosenberg, Giles",🟢
6118,"Buffy Summers, Willow Rosenberg",🟢
6119,Buffy Summers,🟢
6120,"Buffy Summers, Demons",🟢
6121,"Buffy Summers, Willow Rosenberg, Tara Maclay",🟢
6122,Buffy Summers,🟢
6123,Buffy Summers,🟢
6124,Buffy Summers,🟢
6125,Buffy Summers,🟢
6126,Buffy Summers,🟢
6127,Buffy Summers,🟢
6128,Buffy Summers,🟢
6129,Buffy Summers,🟢
6130,"Buffy Summers, Willow Rosenberg, Tara Maclay",🟢
6131,Unknown,🔴
6132,Jean-Luc Picard,🟢
6133,Spock,🟢
6134,"Jean-Luc Picard, William Riker, Data",🟢
6135,"Worf, Jean-Luc Picard",🟢
6136,Captain Jean-Luc Picard,🟢
6137,"Jean-Luc Picard, Deanna Troi",🟢
6138,"Captain Jean-Luc Picard, Q",🟢
6139,"Nightwing, Captain Boomerang, Batman",🟢
6140,"Katana, Shazam",🟢
6141,"Black Thunder, Martian Manhunter",🟢
6142,"Aquaman, Metamorpho",🟢
6143,"Wonder Woman, Grace",🟢
6144,"Superman, Batman",🟢
6145,"The Flash, Kid Flash, Iris West, Wally West",🟢
6146,"The Flash, King Shark",🟢
6147,"Checkmate, Batman",🟢
6148,"Checkmate, Black Queen",🟢
6149,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
6150,"Deadshot, Harley Quinn, Captain Boomerang, Killer Croc, Enchantress, Amanda Waller",🟢
6151,Suicide Squad,🟢
6152,Suicide Squad,🟢
6153,"Deadshot, Boomerang",🟢
6154,"Deadshot, Captain Boomerang, Enchantress, Killer Frost",🟢
6155,"Suicide Squad, Frank Rock",🟢
6156,"Deadshot, Captain Boomerang, Harley Quinn, Enchantress, King Shark, Rick Flag",🟢
6157,"Deadshot, Enchantress, Nightshade, Bronze Tiger, Captain Boomerang, Killer Frost",🟢
6158,"Deadshot, El Diablo",🟢
6159,"Harley Quinn, Deadshot, Captain Boomerang, Killer Croc, Enchantress, Plastique",🟢
6160,"Deadshot, Captain Boomerang, Harley Quinn, Killer Croc, El Diablo",🟢
6161,"Deadshot, Harley Quinn, King Shark",🟢
6162,"Superman, Batman, Wonder Woman, Green Lantern, The Flash",🟢
6163,"Legion of Super-Heroes, Supergirl, Brainiac 5",🟢
6164,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkman, Aquaman",🟢
6165,"Lex Luthor, Poison Ivy, Grundy, Cheetah, Giganta",🟢
6166,"Superman, Lobo",🟢
6167,"Legion of Super-Heroes, Lightning Lad, Saturn Girl, Cosmic Boy",🟢
6168,Legion of Super-Heroes,🟢
6169,"Superman, Wonder Woman, Green Lantern",🟢
6170,Legion of Super-Heroes,🟢
6171,"Kimiyo Hoshi, Fire, Lex Luthor",🟢
6172,"Legion of the Damned characters including Lobo, Phantom Stranger, Deadman, Zatanna, John Constantine, Etrigan",🟢
6173,"Legionnaires, Supergirl, Shrinking Violet",🟢
6174,"Validus, Timber Wolf",🟢
6175,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
6176,"Emerald Empress, Saturn Girl, Triplicate Girl",🟢
6177,Unknown,🔴
6178,"Tali, Lightning, Superman, The Flash, Green Lantern, Hawkgirl",🟢
6179,"Supergirl, Brainiac 5",🟢
6180,"The Legion of Super-Heroes, Basil Ghoul",🟢
6181,"Dream Girl, Brainiac 5",🟢
6182,"Ras al Ghul, Monél",🟢
6183,"Starman, Wonder Woman, Black Canary, Hawkman",🟢
6184,"Starman, Nightwing, The Question, Hawkgirl, Green Lantern",🟢
6185,"Starman, Timber Wolf, Shrinking Violet, Chameleon Boy",🟢
6186,"Computo, Brainiac 5",🟢
6187,"Computo, Legion of Super-Heroes",🟢
6188,"Timber Wolf, Legion of Super-Heroes",🟢
6189,"Legion of Super-Heroes, Fatal Five",🟢
6190,"Ra's al Ghul, Legion of Super-Heroes",🟢
6191,"Legion of Super-Heroes members, Demon (Etrigan)",🟢
6192,Dream Girl,🟢
6193,Dream Girl,🟢
6194,"The Legion of Super-Heroes, Dream Crime storyline featuring Darkseid",🟢
6195,Dream Girl,🟢
6196,Chameleon Boy,🟢
6197,"Umbra, Matter-Eater Lad, Timber Wolf",🟢
6198,"Superman, Legion of Super-Heroes",🟢
6199,"Superman, Wonder Woman, Batman, The Flash",🟢
6200,Superman,🟢
6201,Darkseid,🟢
6202,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Black Canary",🟢
6203,"Darkseid, Superman",🟢
6204,"Superboy, Legion of Super-Heroes",🟢
6205,"Live Wire, Lone Wolf",🟢
6206,Unknown,🔴
6207,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl",🟢
6208,"Starfire, Blackfire",🟢
6209,"Green Lantern, Karate Kid",🟢
6210,"Supergirl, Brainiac 5, Triplicate Girl",🟢
6211,"Legion of Super-Heroes, Saturn Girl, Cosmic Boy, Lightning Lad",🟢
6212,"Starman, Saturn Girl, Brainiac 5, Chameleon Boy, Phantom Girl, Ultra Boy",🟢
6213,"Starman, Hourman, Doctor Fate",🟢
6214,"Legion Lost, Quantum Mechanics characters",🟢
6215,"Superman, The Flash",🟢
6216,Supergirl,🟢
6217,"Brainiac, Lobo",🟢
6218,Legion of Super-Heroes,🟢
6219,"Superman, Darkseid",🟢
6220,"Darkseid, Lois Lane",🟢
